id,doc
1,"BlackHistoryMonth at the Library is kicking off with a hands-on way to get involved. The By the People project needs help transcribing letters, contracts more to gain understanding of the military experience of Black Americans from through WWI. https:t.coqAEYHUexP https:t.coxnEOiSOa"
2,MayThethBeWithYou MayTheth
3,NatBookFest fit check! https:t.cooAIDJVSSy
4,"RosaParks is a national heroine not because her activism was always a success, but because she kept pushing even when it wasn't. Here we remember her years of work before the Montgomery bus boycott, including the Jeremiah Reeves case that haunted her. https:t.coYcSIHkHIa https:t.cosPirKkscl"
5,"SeaMonsterSaturday is not a real thing. But should it be? We'll go first. Fantastical sea creatures are the best part of some of the Library's antique maps, like this map of Iceland. Descriptions of the creatures are on the back. Read more: https:t.coByXIrGXQ https:t.cohutOdVCF"
6,"""I hope I'm the one that turns the lights out shuts the door."" ""America Works,"" season , episode . Mario Cervantes, a skilled Boeing factory worker in Wichita, reacts to Boeing leaving the city, where it had been a mainstay for decades. Listen: https:t.coipIDPutjq https:t.coODIIfglKZ"
7,"""singing out, offering something back to the earth, noticing our connection to the planet, could help us all move forward together in a powerful way. U.S. Poet Laureate Ada Limn announces signature project, focused on nature poetry national parks. https:t.cosmbsQ"
8,"""when Joni Mitchell sang George Gershwins 'Summertime' at DAR Constitution Hall earlier this month, something like God entered in the room."" He's not wrong. GershwinPrizePBS tonight at p.m. ET."
9,"""whenever any singularly meritorious action is performed, the author of it shall be permitted to wear ... over the left breast, the figure of a heart in purple cloth,"" General Washington wrote. The document is in our collection of Washington's papers: https:t.cozrQhvxYeS https:t.coNBlcsvTGC"
10,") Have reading materials available: Books, newspapers, magazines, even comic books. ) Go to the public library frequently and combine those trips with other fun activities, like getting ice cream or going to the park. ) Always set aside time to read daily, as long as you can."
11,nations have agreed to amend copyright laws to more easily allow for the creation    and the sharing across borders    of audio and electronic Braille versions of published works for people with disabilities that prevent their use of printed media.
12,"years ago this week, the Black neighborhood of Greenwood in Tulsa, Oklahoma, was destroyed by white mobs, leaving as many as people dead. Read more about the Tulsa Race Massacre in ChronAmLOC's collection of historic newspapers."
13,"years ago today, Clara Barton hosted the first official meeting of the RedCross at her Washington, D.C., home. The Library's Prints and Photographs Division (https:t.coyOSozeTp) offers a visual record of their accomplishments in providing relief throughout the world. https:t.cooPOmhBwKn"
14,"products were a thing way before late-night infomercials. This MID-s powder horn,FOR example,was made from cow OR ox horn used to carry gunpowder. It also has maps of two important transportation routes of the TIME engraved on it."
